"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","icao_code","iata_code","gps_code","local_code","home_link","wikipedia_link","keywords"
526897,"HU-0072","heliport","Helipad",29.946754,79.903173,,"AS","IN","IN-UT","Kedareshwar","no",,,,,,,
35129,"IN-0001","heliport","Siachen Base Camp Heliport",35.194275,77.213051,11693,"AS","IN","IN-LA","Nubra","no",,,,,,,
35130,"IN-0002","heliport","Tawang Air Force Station",27.588732,91.877439,8756,"AS","IN","IN-AR","Tawang","no",,,,,,,
42716,"IN-0003","small_airport","Daulat Beg Oldi Advanced Landing Ground",35.396467,77.928965,16200,"AS","IN","IN-LA","Nubra","no",,,,,,"https://en.wikipedia.org/wiki/Daulat_Beg_Oldi_Advanced_Landing_Ground",
42717,"IN-0004","heliport","Leh Heliport",34.129295,77.537205,10682,"AS","IN","IN-LA","Leh","no",,,,,,,
42721,"IN-0005","closed","Kayathar Airstrip",8.970609,77.816847,,"AS","IN","IN-TN","Ahilandapuram","no",,,,,,,
42722,"IN-0006","closed","Chettinad Airstrip",10.164996,78.79377,,"AS","IN","IN-TN","Kanadukathan","no",,,,,,,
42724,"IN-0007","heliport","Minicoy Heliport",8.27363,73.022301,,"AS","IN","IN-LD","Minicoy","no",,,,,,,"Maliku"
42729,"IN-0008","heliport","Kavaratti Helipad",10.541667938232422,72.61604309082031,,"AS","IN","IN-LD",,"no",,,,,,,
42730,"IN-0009","heliport","Gangtok Helipad",27.355736,88.614156,,"AS","IN","IN-SK","Gangtok","no",,,,,,,
42731,"IN-0010","small_airport","Walong Advanced Landing Ground",28.12967300415,97.019660949707,,"AS","IN","IN-AR",,"no",,,,,,"https://en.wikipedia.org/wiki/Walong",
43966,"IN-0011","small_airport","Jakkur Aerodrome",13.07674,77.597645,3013,"AS","IN","IN-KA","Bengaluru","no","VOJK",,"VOJK",,,"https://en.wikipedia.org/wiki/Jakkur_Aerodrome",
44362,"IN-0012","small_airport","Pakyong Airport",27.2313,88.587196,4590,"AS","IN","IN-SK","Pakyong","no","VEPY","PYG","VEPY",,,"https://en.wikipedia.org/wiki/Pakyong_Airport",
44908,"IN-0013","small_airport","Nadirgul Airport",17.306142,78.561004,1811,"AS","IN","IN-TG","Hyderabad","no",,,,,"https://web.archive.org/web/20170713034841/http://www.aai.aero/allAirports/nadirgul.jsp","https://en.wikipedia.org/wiki/Nadirgul_Airport","NDGL, Nadergul"
44475,"IN-0014","closed","Koirengei Airstrip",24.872459411621094,93.9256820678711,,"AS","IN","IN-MN",,"no",,,,,,,
44582,"IN-0015","small_airport","Baljek Airport",25.661487579345703,90.34503936767578,,"AS","IN","IN-ML",,"yes",,,,,,,
46282,"IN-0016","closed","Ledo Airfield",27.302441,95.737031,,"AS","IN","IN-AS","Ledo","no",,,,,,"https://en.wikipedia.org/wiki/Ledo_Airfield",
46283,"IN-0017","closed","Dudhkundi Airfield",22.3245915688,87.10741996770001,,"AS","IN","IN-WB",,"no",,,,,,"https://en.wikipedia.org/wiki/Dudhkundi_Airfield",
46284,"IN-0018","closed","Piardoba Airfield",22.9895085468,87.2995948792,,"AS","IN","IN-WB",,"no",,,,,,"https://en.wikipedia.org/wiki/Piardoba_Airfield",
46285,"IN-0019","heliport","Dinjan Air Force Station",27.544598,95.238011,376,"AS","IN","IN-AS","Muluk Gaon","no",,,,,,"https://en.wikipedia.org/wiki/Dinjan_Airfield",
46287,"IN-0020","closed","Ulundurpet Airstrip",11.688549,79.321375,,"AS","IN","IN-TN","Villupuram","no",,,,,,,
