site,epoch,buildings_50m,buildings_100m,buildings_200m,buildings_500m,buildings_200m_incl_nonres_zones,circular_tanks_dropped,nonres_class_dropped,bld200_on_ghsl_residential,bld200_on_ghsl_nonresidential,bld200_on_ghsl_not_built_2018,nearest_building_m,nearest_osm_residential_m,osm_residential_name,nearest_osm_place_m,osm_place,residential_buildings_200m,imagery_review,imagery_note,auto_if_>=1_residential,auto_if_>=5_residential,auto_if_>=20_residential,auto_if_>=1_any_building,auto_if_>=5_any_building,auto_if_>=20_any_building
AHM-01,2026,11,74,437,1537,1034,0,1,390,11,36,30.7,0.0,,1183.8,Piplaj,390,confirmed,dense housing on the east / south-east edge; industrial units elsewhere (excluded),breach,breach,breach,breach,breach,breach
AHM-01,2016,9,26,371,1628,896,0,1,336,10,25,23.4,8.7,,661.2,Piplaj,336,confirmed,dense housing on the east / south-east edge; industrial units elsewhere (excluded),breach,breach,breach,breach,breach,breach
AHM-02,2026,2,11,63,553,128,1,0,48,0,15,34.4,1937.5,,798.0,Piplaj,48,not residential,"student imagery check 26 Sep: structures within 200 m are not dwellings (Pirana STP to the west, sheds north and south-east)",breach,breach,breach,breach,breach,breach
AHM-02,2016,13,84,277,716,327,1,0,268,0,9,24.4,1612.9,,516.3,Piplaj,268,not residential,"student imagery check 26 Sep: structures within 200 m are not dwellings (Pirana STP to the west, sheds north and south-east)",breach,breach,breach,breach,breach,breach
AHM-03,2026,8,70,150,323,150,0,0,146,0,4,44.8,2845.4,,1566.8,Piplaj,146,not residential,student imagery check 26 Sep: structures in the walled yard just north are not dwellings (waste-handling / scrap yard),breach,breach,breach,breach,breach,breach
AHM-03,2016,0,0,74,257,74,0,0,74,0,0,139.4,2940.7,,1664.6,Piplaj,74,not residential,student imagery check 26 Sep: structures in the walled yard just north are not dwellings (waste-handling / scrap yard),breach,breach,breach,breach,breach,breach
BHJ-01,2026,1,28,161,996,161,0,0,140,0,21,27.7,0.0,Bhuj Sector 72,203.6,,140,confirmed,houses of the residential area to the south,breach,breach,breach,breach,breach,breach
BHJ-01,2016,7,36,176,1067,176,0,0,154,0,22,26.3,49.3,Bhuj Sector 275,275.2,,154,confirmed,houses of the residential area to the south,breach,breach,breach,breach,breach,breach
BHV-01,2026,0,0,1,1,3,0,0,0,0,1,147.4,2403.6,,,,0,none,no buildings inside the 200 m ring,ok,ok,ok,breach,ok,ok
BHV-01,2016,0,1,1,1,10,0,0,0,0,1,94.0,2534.8,,,,0,none,no buildings inside the 200 m ring,ok,ok,ok,breach,ok,ok
GNR-01,2026,84,135,235,505,250,0,3,223,2,10,20.5,163.1,GEB Colony,1276.4,Sector 30,223,confirmed,dense cluster of small dwellings along the west edge,breach,breach,breach,breach,breach,breach
GNR-01,2016,6,16,46,97,46,0,3,37,0,9,23.3,804.6,GEB Colony,1209.6,Sector 30,37,confirmed,dense cluster of small dwellings along the west edge,breach,breach,breach,breach,breach,breach
JAM-01,2026,7,21,96,788,98,0,0,83,0,13,24.9,36.9,,1118.3,Hapa,83,confirmed,residential plots and houses to the south and west,breach,breach,breach,breach,breach,breach
JAM-01,2016,4,8,67,638,67,0,0,54,0,13,24.7,75.2,,1131.7,Hapa,54,confirmed,residential plots and houses to the south and west,breach,breach,breach,breach,breach,breach
MEH-01,2026,2,11,46,413,46,1,0,24,0,22,42.3,1462.2,,1496.0,Mahesana,24,confirmed,houses to the north-west,breach,breach,breach,breach,breach,breach
MEH-01,2016,0,3,23,279,23,1,0,2,0,21,79.1,1493.7,,1609.3,Mahesana,2,confirmed,houses to the north-west,breach,ok,ok,breach,breach,breach
RAJ-01,2026,5,12,38,93,38,0,0,4,0,34,20.3,1704.2,,3001.7,Khorna,4,none,structures in the ring are the processing-plant buildings on the east side,breach,ok,ok,breach,breach,breach
RAJ-01,2016,0,0,24,77,24,0,0,4,0,20,114.9,1902.6,,3274.9,Khorna,4,none,structures in the ring are the processing-plant buildings on the east side,breach,ok,ok,breach,breach,breach
SUR-01,2026,5,27,79,524,79,0,1,75,0,4,21.7,450.3,,1750.6,Nandavan Society,75,confirmed,"most mapped structures are Bhatar STP units, but dense housing lies inside the ring to the south-west",breach,breach,breach,breach,breach,breach
SUR-01,2016,14,48,142,660,142,0,1,121,0,21,24.7,485.0,,1761.0,Nandavan Society,121,confirmed,"most mapped structures are Bhatar STP units, but dense housing lies inside the ring to the south-west",breach,breach,breach,breach,breach,breach
SUR-02,2026,7,15,52,146,62,0,1,33,0,19,21.8,1007.9,,,,33,not residential,student imagery check 26 Sep: the cluster south of the southern cell is not residential; north side industrial,breach,breach,breach,breach,breach,breach
SUR-02,2016,9,23,70,167,70,0,1,36,0,34,22.9,1113.8,,,,36,not residential,student imagery check 26 Sep: the cluster south of the southern cell is not residential; north side industrial,breach,breach,breach,breach,breach,breach
VAD-01,2026,11,44,140,340,140,0,0,113,0,27,22.2,424.5,Surya Darshan,,,113,likely,scattered houses / farm buildings to the north and west,breach,breach,breach,breach,breach,breach
VAD-01,2016,4,24,114,265,114,0,0,94,0,20,41.0,431.9,Surya Darshan,,,94,likely,scattered houses / farm buildings to the north and west,breach,breach,breach,breach,breach,breach
VAD-02,2026,28,59,122,606,159,0,0,120,0,2,22.4,2325.4,Haridham Apartments,1922.3,Tandalja,120,confirmed,apartments and houses to the west and south,breach,breach,breach,breach,breach,breach
VAD-02,2016,17,57,160,981,199,0,0,131,0,29,26.8,1851.3,Haridham Apartments,1651.3,Manjalpur,131,confirmed,apartments and houses to the west and south,breach,breach,breach,breach,breach,breach
VAP-01,2026,0,4,13,80,24,0,0,7,0,6,73.7,,,,,7,confirmed,student imagery check 26 Sep: residential buildings within 200 m to the south-east,breach,breach,ok,breach,breach,ok
VAP-01,2016,0,0,9,59,20,0,0,4,0,5,106.2,,,,,4,confirmed,student imagery check 26 Sep: residential buildings within 200 m to the south-east,breach,ok,ok,breach,breach,ok
