city,group,n_sites,2016,2018,2020,2022,2024,2026,net_change_ha,net_change_pct
Ahmedabad,Major city,3,50.0329,53.7869,58.2667,59.4087,54.3326,46.6473,-3.3856,-6.7667
Bhavnagar,Major city,1,3.7032,14.8342,19.7231,18.4596,17.5241,14.7888,11.0857,299.3567
Bhuj,Other city,1,4.9861,4.1768,6.2379,5.6687,7.6934,6.6902,1.7041,34.176
Gandhinagar,Other city,1,1.1101,0.9179,1.1192,6.9098,8.5967,12.5824,11.4723,1033.4573
Jamnagar,Other city,1,1.5549,2.5074,2.9243,2.6273,2.2059,2.7922,1.2373,79.5781
Mehsana,Other city,1,2.5712,2.1778,3.9355,3.5338,4.254,2.7753,0.2041,7.9384
Rajkot,Major city,1,7.3147,7.6689,17.312,21.0079,28.2775,28.1377,20.8231,284.6753
Surat,Major city,2,70.6887,70.1774,20.6001,35.8357,54.0012,31.6169,-39.0718,-55.273
Vadodara,Major city,2,9.9835,9.605,11.5969,11.5177,13.7793,13.6085,3.6251,36.3106
Vapi,Other city,1,0.5263,0.8635,0.948,1.7437,1.4423,1.4031,0.8768,166.605
