site_id,site,epoch,part,area_ha,perimeter_m
AHM-01,Ahmedabad LF-1 (Pirana),2016,main,38.4795,3703.4746
AHM-01,Ahmedabad LF-1 (Pirana),2018,main,37.9794,3707.0843
AHM-01,Ahmedabad LF-1 (Pirana),2020,main,38.7309,4662.5332
AHM-01,Ahmedabad LF-1 (Pirana),2022,main,34.4871,3076.2591
AHM-01,Ahmedabad LF-1 (Pirana),2024,main,29.3571,2685.6623
AHM-01,Ahmedabad LF-1 (Pirana),2026,main,29.9255,3172.1161
AHM-02,Ahmedabad LF-2,2016,a,3.802,994.7613
AHM-02,Ahmedabad LF-2,2016,b,4.6484,862.0803
AHM-02,Ahmedabad LF-2,2018,a,4.3804,1106.7695
AHM-02,Ahmedabad LF-2,2018,b,8.0887,1211.0126
AHM-02,Ahmedabad LF-2,2020,a,6.1489,1719.0613
AHM-02,Ahmedabad LF-2,2020,b,9.3094,1422.3651
AHM-02,Ahmedabad LF-2,2022,a,9.5683,1524.8693
AHM-02,Ahmedabad LF-2,2022,b,8.4751,1244.3124
AHM-02,Ahmedabad LF-2,2024,a,8.9097,1715.1034
AHM-02,Ahmedabad LF-2,2024,b,7.5199,1202.6149
AHM-02,Ahmedabad LF-2,2026,a,8.1759,1447.3994
AHM-03,Ahmedabad LF-3,2016,main,3.103,708.9314
AHM-03,Ahmedabad LF-3,2018,main,3.3384,770.373
AHM-03,Ahmedabad LF-3,2020,main,4.0774,808.635
AHM-03,Ahmedabad LF-3,2022,main,6.8783,1053.3676
AHM-03,Ahmedabad LF-3,2024,main,8.5458,1169.0527
AHM-03,Ahmedabad LF-3,2026,main,8.5458,1169.0527
BHJ-01,Bhuj LF-1,2016,main,4.9861,2020.5473
BHJ-01,Bhuj LF-1,2018,main,4.1768,1688.498
BHJ-01,Bhuj LF-1,2020,main,6.2379,1670.083
BHJ-01,Bhuj LF-1,2022,main,5.6687,1755.0499
BHJ-01,Bhuj LF-1,2024,main,7.6934,1856.8224
BHJ-01,Bhuj LF-1,2026,main,6.6902,1888.7687
BHV-01,Bhavnagar LF-1,2016,main,3.7032,1030.2963
BHV-01,Bhavnagar LF-1,2018,main,14.8342,2380.0903
BHV-01,Bhavnagar LF-1,2020,main,19.7231,2687.7731
BHV-01,Bhavnagar LF-1,2022,main,18.4596,3384.2898
BHV-01,Bhavnagar LF-1,2024,main,17.5241,3916.9834
BHV-01,Bhavnagar LF-1,2026,main,14.7888,2862.2093
GNR-01,Gandhinagar LF-1,2016,main,1.1101,417.1733
GNR-01,Gandhinagar LF-1,2018,main,0.9179,418.5302
GNR-01,Gandhinagar LF-1,2020,main,1.1192,538.4149
GNR-01,Gandhinagar LF-1,2022,main,6.9098,1493.247
GNR-01,Gandhinagar LF-1,2024,main,8.5967,1558.0541
GNR-01,Gandhinagar LF-1,2026,main,12.5824,3023.9112
JAM-01,Jamnagar LF-1,2016,main,1.5549,570.8517
JAM-01,Jamnagar LF-1,2018,main,2.5074,749.9926
JAM-01,Jamnagar LF-1,2020,main,2.9243,936.6811
JAM-01,Jamnagar LF-1,2022,main,2.6273,939.5708
JAM-01,Jamnagar LF-1,2024,main,2.2059,672.1346
JAM-01,Jamnagar LF-1,2026,main,2.7922,751.3593
MEH-01,Mehsana LF-1,2016,main,2.5712,666.848
MEH-01,Mehsana LF-1,2018,main,2.1778,651.2218
MEH-01,Mehsana LF-1,2020,main,3.9355,830.1438
MEH-01,Mehsana LF-1,2022,main,3.5338,849.9165
MEH-01,Mehsana LF-1,2024,main,4.254,876.6681
MEH-01,Mehsana LF-1,2026,main,2.7753,1526.7192
RAJ-01,Rajkot LF-1,2016,main,7.3147,1675.6481
RAJ-01,Rajkot LF-1,2018,main,7.6689,1714.2716
RAJ-01,Rajkot LF-1,2020,main,17.312,1665.0712
RAJ-01,Rajkot LF-1,2022,main,21.0079,2445.829
RAJ-01,Rajkot LF-1,2024,main,28.2775,2882.0651
RAJ-01,Rajkot LF-1,2026,main,28.1377,2876.2093
SUR-01,Surat LF-1 (Bhatar),2016,main,1.9713,664.4641
SUR-01,Surat LF-1 (Bhatar),2018,main,1.8301,581.136
SUR-01,Surat LF-1 (Bhatar),2020,main,1.6241,584.5281
SUR-01,Surat LF-1 (Bhatar),2022,main,0.823,460.0742
SUR-01,Surat LF-1 (Bhatar),2024,main,0.4616,271.004
SUR-01,Surat LF-1 (Bhatar),2026,main,0.4095,321.8699
SUR-02,Surat LF-2 (Khajod),2016,a,36.8076,2401.2564
SUR-02,Surat LF-2 (Khajod),2016,b,26.068,2142.2919
SUR-02,Surat LF-2 (Khajod),2016,c,5.8417,972.9725
SUR-02,Surat LF-2 (Khajod),2018,a,36.8076,2401.2564
SUR-02,Surat LF-2 (Khajod),2018,b,25.5136,2142.0492
SUR-02,Surat LF-2 (Khajod),2018,c,6.0261,1794.8247
SUR-02,Surat LF-2 (Khajod),2020,b,11.8351,1463.4695
SUR-02,Surat LF-2 (Khajod),2020,c,7.1408,1213.247
SUR-02,Surat LF-2 (Khajod),2022,b,20.1046,2222.0694
SUR-02,Surat LF-2 (Khajod),2022,c,14.9081,2978.1085
SUR-02,Surat LF-2 (Khajod),2024,b,36.6186,2889.763
SUR-02,Surat LF-2 (Khajod),2024,c,16.921,3526.8722
SUR-02,Surat LF-2 (Khajod),2026,b,10.5175,1497.7329
SUR-02,Surat LF-2 (Khajod),2026,c,20.6899,3206.4327
VAD-01,Vadodara LF-1,2016,main,3.0217,737.3197
VAD-01,Vadodara LF-1,2018,main,3.9169,807.6364
VAD-01,Vadodara LF-1,2020,main,8.5907,2128.0986
VAD-01,Vadodara LF-1,2022,main,10.7247,2315.9416
VAD-01,Vadodara LF-1,2024,main,12.6877,2361.8368
VAD-01,Vadodara LF-1,2026,main,12.8757,2289.8746
VAD-02,Vadodara LF-2,2016,a,0.5287,480.4423
VAD-02,Vadodara LF-2,2016,b,0.5707,458.3671
VAD-02,Vadodara LF-2,2016,main,5.8623,1011.0536
VAD-02,Vadodara LF-2,2018,a+b,0.9798,687.764
VAD-02,Vadodara LF-2,2018,main,4.7083,901.0385
VAD-02,Vadodara LF-2,2020,main,3.0063,674.9372
VAD-02,Vadodara LF-2,2022,a,0.16,225.2322
VAD-02,Vadodara LF-2,2022,b,0.6329,685.7069
VAD-02,Vadodara LF-2,2024,a,0.9535,887.7726
VAD-02,Vadodara LF-2,2024,b,0.1382,153.9076
VAD-02,Vadodara LF-2,2026,a,0.4276,361.4409
VAD-02,Vadodara LF-2,2026,b,0.3051,316.1989
VAP-01,Vapi LF-1,2016,main,0.5263,384.3081
VAP-01,Vapi LF-1,2018,main,0.8635,508.9071
VAP-01,Vapi LF-1,2020,main,0.948,431.4167
VAP-01,Vapi LF-1,2022,main,1.7437,777.1868
VAP-01,Vapi LF-1,2024,main,1.4423,652.5198
VAP-01,Vapi LF-1,2026,main,1.4031,646.3942
