site_id,site,city,group,n_parts_max,epochs,area_2016_ha,area_2026_ha,net_change_ha,net_change_pct,peak_ha,peak_year,peak_to_2026_pct,theil_sen_ha_per_yr,mk_S,mk_tau,mk_p_exact,perimeter_2016_m,perimeter_2026_m,perimeter_change_pct,perimeter_theil_sen_m_per_yr,shape_index_2016,shape_index_2026,compactness_2016,compactness_2026,fractal_dim_2016,fractal_dim_2026,ever_under_waste_ha,newly_covered_since_2016_ha,no_longer_waste_2026_ha,trough_ha,trough_year,trough_to_2026_pct,significant_reversals,mean_edge_uncertainty_pct,change_threshold_pct,trajectory
AHM-01,Ahmedabad LF-1 (Pirana),Ahmedabad,Major city,1,6,38.4795,29.9255,-8.554,-22.2299,38.7309,2020,-22.7348,-1.0067,-9,-0.6,0.1361,3703.4746,3172.1161,-14.3476,-104.5359,1.6842,1.6358,0.3525,0.3737,1.0623,1.0589,47.4057,8.3918,17.4802,29.3571,2024,1.9361,0,2.0043,15.0,Contracting
AHM-02,Ahmedabad LF-2,Ahmedabad,Major city,2,6,8.4504,8.1759,-0.2745,-3.2479,18.0433,2022,-54.6872,0.6601,3,0.2,0.7194,1856.8416,1447.3994,-22.0505,74.2683,1.8019,1.428,0.308,0.4904,1.0825,1.0416,19.1396,4.7684,10.9636,8.1759,2026,0.0,1,3.7179,15.0,Rise and fall
AHM-03,Ahmedabad LF-3,Ahmedabad,Major city,1,6,3.103,8.5458,5.4428,175.4061,8.5458,2024,0.0,0.6509,14,0.9333,0.0056,708.9314,1169.0527,64.9035,57.406,1.1353,1.1281,0.7759,0.7858,1.0012,1.0,8.5458,5.4428,0.0,3.103,2016,175.4061,0,3.6103,15.0,Expanding
BHJ-01,Bhuj LF-1,Bhuj,Other city,1,6,4.9861,6.6902,1.7041,34.176,7.6934,2024,-13.0405,0.3129,9,0.6,0.1361,2020.5473,1888.7687,-6.5219,16.638,2.5526,2.0599,0.1535,0.2357,1.1509,1.1083,10.3138,3.2768,3.6236,4.1768,2018,60.1738,1,6.3857,15.0,Expanding
BHV-01,Bhavnagar LF-1,Bhavnagar,Major city,1,6,3.7032,14.7888,11.0857,299.3567,19.7231,2020,-25.0177,0.4483,1,0.0667,1.0,1030.2963,2862.2093,177.8045,256.1488,1.5103,2.0996,0.4384,0.2269,1.0554,1.1043,27.9659,11.7055,13.1771,3.7032,2016,299.3567,1,3.926,15.0,Rise and fall
GNR-01,Gandhinagar LF-1,Gandhinagar,Other city,1,6,1.1101,12.5824,11.4723,1033.4573,12.5824,2026,0.0,1.2798,13,0.8667,0.0167,417.1733,3023.9112,624.8574,254.9098,1.1169,2.4048,0.8016,0.1729,0.9978,1.1289,17.0064,12.5824,4.424,0.9179,2018,1270.8049,1,6.5275,15.0,Expanding
JAM-01,Jamnagar LF-1,Jamnagar,Other city,1,6,1.5549,2.7922,1.2373,79.5781,2.9243,2020,-4.5162,0.0412,5,0.3333,0.4694,570.8517,751.3593,31.6208,12.6604,1.2914,1.2684,0.5996,0.6215,1.028,1.0229,3.3584,1.3226,0.5662,1.5549,2016,79.5781,2,6.4275,15.0,Expanding
MEH-01,Mehsana LF-1,Mehsana,Other city,1,6,2.5712,2.7753,0.2041,7.9384,4.254,2024,-34.7609,0.0796,5,0.3333,0.4694,666.848,1526.7192,128.9456,40.824,1.1732,2.5852,0.7266,0.1496,1.0077,1.1621,5.1109,1.0133,2.3356,2.1778,2018,27.434,2,5.9025,15.0,Rise and fall
RAJ-01,Rajkot LF-1,Rajkot,Major city,1,6,7.3147,28.1377,20.8231,284.6753,28.2775,2024,-0.4943,2.4993,13,0.8667,0.0167,1675.6481,2876.2093,71.6476,145.2422,1.7478,1.5296,0.3274,0.4274,1.0781,1.0485,30.2177,20.9507,2.0799,7.3147,2016,284.6753,0,2.8988,15.0,Expanding
SUR-01,Surat LF-1 (Bhatar),Surat,Major city,1,6,1.9713,0.4095,-1.5618,-79.2246,1.9713,2016,-79.2246,-0.1807,-15,-1.0,0.0028,664.4641,321.8699,-51.5595,-34.5511,1.335,1.4188,0.5611,0.4968,1.034,1.0551,2.2972,0.2366,1.8877,0.4095,2026,0.0,0,9.8419,19.6838,Contracting
SUR-02,Surat LF-2 (Khajod),Surat,Major city,3,6,68.7174,31.2074,-37.51,-54.5859,68.7174,2016,-54.5859,-2.468,-7,-0.4667,0.2722,5516.5208,4704.1656,-14.7259,-52.7238,1.8773,2.3755,0.2838,0.1772,1.0757,1.1177,106.7166,16.5534,75.5092,18.976,2020,64.4571,2,2.4361,15.0,Cleared then regrowing
VAD-01,Vadodara LF-1,Vadodara,Major city,1,6,3.0217,12.8757,9.854,326.104,12.8757,2026,0.0,1.067,15,1.0,0.0028,737.3197,2289.8746,210.5674,155.2555,1.1965,1.8002,0.6985,0.3086,1.0114,1.0794,15.1707,10.0056,2.2949,3.0217,2016,326.104,0,4.2849,15.0,Expanding
VAD-02,Vadodara LF-2,Vadodara,Major city,3,6,6.9617,0.7328,-6.229,-89.4741,6.9617,2016,-89.4741,-0.6368,-13,-0.8667,0.0167,1949.8631,677.6398,-65.2468,-113.8953,2.0847,2.2331,0.2301,0.2005,1.1101,1.1534,8.2063,0.5004,7.4735,0.7328,2026,0.0,2,12.7831,25.5662,Contracting
VAP-01,Vapi LF-1,Vapi,Other city,1,6,0.5263,1.4031,0.8768,166.605,1.7437,2022,-19.5335,0.0965,9,0.6,0.1361,384.3081,646.3942,68.1969,26.2086,1.4944,1.5394,0.4478,0.422,1.0656,1.0651,2.0189,0.9409,0.6158,0.5263,2016,166.605,0,10.5725,21.145,Expanding
