site,site_id,epoch,status,n_parts,parts_traced,area_ha,area_unc_ha,perimeter_m,shape_index,compactness,fractal_dim
Ahmedabad LF-1 (Pirana),AHM-01,2016,traced,1,main,38.4795,0.7409,3703.4746,1.6842,0.3525,1.0623
Ahmedabad LF-1 (Pirana),AHM-01,2018,traced,1,main,37.9794,0.742,3707.0843,1.6969,0.3473,1.0635
Ahmedabad LF-1 (Pirana),AHM-01,2020,traced,1,main,38.7309,0.9323,4662.5332,2.1134,0.2239,1.0975
Ahmedabad LF-1 (Pirana),AHM-01,2022,traced,1,main,34.4871,0.6159,3076.2591,1.4777,0.458,1.0423
Ahmedabad LF-1 (Pirana),AHM-01,2024,traced,1,main,29.3571,0.5379,2685.6623,1.3983,0.5115,1.0341
Ahmedabad LF-1 (Pirana),AHM-01,2026,traced,1,main,29.9255,0.6348,3172.1161,1.6358,0.3737,1.0589
Ahmedabad LF-2,AHM-02,2016,traced,2,a+b,8.4504,0.3705,1856.8416,1.8019,0.308,1.0825
Ahmedabad LF-2,AHM-02,2018,traced,2,a+b,12.4691,0.463,2317.782,1.8516,0.2917,1.0844
Ahmedabad LF-2,AHM-02,2020,traced,2,a+b,15.4583,0.6275,3141.4264,2.2539,0.1968,1.1158
Ahmedabad LF-2,AHM-02,2022,traced,2,a+b,18.0433,0.5534,2769.1816,1.839,0.2957,1.0807
Ahmedabad LF-2,AHM-02,2024,traced,2,a+b,16.4296,0.5829,2917.7183,2.0306,0.2425,1.0978
Ahmedabad LF-2,AHM-02,2026,traced,1,a,8.1759,0.2891,1447.3994,1.428,0.4904,1.0416
Ahmedabad LF-3,AHM-03,2016,traced,1,main,3.103,0.1416,708.9314,1.1353,0.7759,1.0012
Ahmedabad LF-3,AHM-03,2018,traced,1,main,3.3384,0.1538,770.373,1.1894,0.7069,1.0101
Ahmedabad LF-3,AHM-03,2020,traced,1,main,4.0774,0.1616,808.635,1.1297,0.7836,1.0002
Ahmedabad LF-3,AHM-03,2022,traced,1,main,6.8783,0.2105,1053.3676,1.133,0.779,1.0007
Ahmedabad LF-3,AHM-03,2024,traced,1,main,8.5458,0.2337,1169.0527,1.1281,0.7858,1.0
Ahmedabad LF-3,AHM-03,2026,traced,1,main,8.5458,0.2337,1169.0527,1.1281,0.7858,1.0
Bhuj LF-1,BHJ-01,2016,traced,1,main,4.9861,0.4073,2020.5473,2.5526,0.1535,1.1509
Bhuj LF-1,BHJ-01,2018,traced,1,main,4.1768,0.3383,1688.498,2.3306,0.1841,1.1363
Bhuj LF-1,BHJ-01,2020,traced,1,main,6.2379,0.335,1670.083,1.8863,0.281,1.0931
Bhuj LF-1,BHJ-01,2022,traced,1,main,5.6687,0.3516,1755.0499,2.0794,0.2313,1.1117
Bhuj LF-1,BHJ-01,2024,traced,1,main,7.6934,0.3715,1856.8224,1.8884,0.2804,1.0915
Bhuj LF-1,BHJ-01,2026,traced,1,main,6.6902,0.3777,1888.7687,2.0599,0.2357,1.1083
Bhavnagar LF-1,BHV-01,2016,traced,1,main,3.7032,0.207,1030.2963,1.5103,0.4384,1.0554
Bhavnagar LF-1,BHV-01,2018,traced,1,main,14.8342,0.4748,2380.0903,1.7432,0.3291,1.0731
