site_id,from_epoch,to_epoch,gained_ha,lost_ha,persistent_ha,iou,d_area_ha,d_area_pct
AHM-01,2016,2018,0.4452,0.9453,37.5342,0.9643,-0.5001,-1.2997
AHM-01,2018,2020,4.0431,3.2916,34.6878,0.8255,0.7516,1.9789
AHM-01,2020,2022,2.3307,6.5746,32.1564,0.7831,-4.2439,-10.9573
AHM-01,2022,2024,1.0159,6.1458,28.3412,0.7983,-5.1299,-14.8749
AHM-01,2024,2026,4.3773,3.8089,25.5482,0.7573,0.5684,1.9361
AHM-02,2016,2018,4.1198,0.1011,8.3493,0.6642,4.0187,47.5564
AHM-02,2018,2020,3.0001,0.0109,12.4582,0.8054,2.9892,23.9729
AHM-02,2020,2022,3.538,0.953,14.5053,0.7636,2.585,16.7226
AHM-02,2022,2024,0.1441,1.7578,16.2856,0.8954,-1.6137,-8.9436
AHM-02,2024,2026,0.1212,8.3748,8.0548,0.4867,-8.2537,-50.2365
AHM-03,2016,2018,0.2864,0.051,3.052,0.9005,0.2355,7.5879
AHM-03,2018,2020,0.739,0.0,3.3384,0.8188,0.739,22.1359
AHM-03,2020,2022,2.8008,0.0,4.0774,0.5928,2.8008,68.6911
AHM-03,2022,2024,1.6676,0.0,6.8783,0.8049,1.6676,24.2438
AHM-03,2024,2026,0.0,0.0,8.5458,1.0,0.0,0.0
BHJ-01,2016,2018,0.9795,1.7888,3.1973,0.5359,-0.8093,-16.2309
BHJ-01,2018,2020,2.3821,0.321,3.8558,0.5879,2.0611,49.3457
BHJ-01,2020,2022,1.0552,1.6244,4.6136,0.6326,-0.5692,-9.1245
BHJ-01,2022,2024,2.8431,0.8184,4.8504,0.5698,2.0247,35.7171
BHJ-01,2024,2026,0.8113,1.8146,5.8788,0.6912,-1.0033,-13.0405
BHV-01,2016,2018,11.4476,0.3165,3.3866,0.2235,11.1311,300.5827
BHV-01,2018,2020,4.8969,0.0081,14.8262,0.7514,4.8889,32.9567
BHV-01,2020,2022,7.302,8.5655,11.1576,0.4129,-1.2635,-6.4062
BHV-01,2022,2024,1.3238,2.2594,16.2002,0.8189,-0.9355,-5.068
BHV-01,2024,2026,0.85,3.5852,13.9389,0.7586,-2.7353,-15.6085
GNR-01,2016,2018,0.0761,0.2683,0.8418,0.7096,-0.1922,-17.3145
GNR-01,2018,2020,0.2851,0.0838,0.8341,0.6933,0.2013,21.9328
GNR-01,2020,2022,6.9098,1.1192,0.0,0.0,5.7906,517.3901
GNR-01,2022,2024,1.6869,0.0,6.9098,0.8038,1.6869,24.413
GNR-01,2024,2026,7.0273,3.0416,5.5551,0.3555,3.9857,46.3624
JAM-01,2016,2018,1.0191,0.0666,1.4882,0.5782,0.9525,61.2596
JAM-01,2018,2020,0.5458,0.1289,2.3785,0.779,0.4169,16.6267
JAM-01,2020,2022,0.058,0.355,2.5693,0.8615,-0.297,-10.1566
JAM-01,2022,2024,0.1322,0.5535,2.0737,0.7515,-0.4213,-16.0367
JAM-01,2024,2026,0.6284,0.0421,2.1638,0.7634,0.5863,26.5768
MEH-01,2016,2018,0.0436,0.4369,2.1343,0.8163,-0.3934,-15.2986
MEH-01,2018,2020,1.7897,0.0321,2.1458,0.5408,1.7576,80.7062
MEH-01,2020,2022,0.0467,0.4484,3.4871,0.8757,-0.4016,-10.2057
MEH-01,2022,2024,0.8002,0.08,3.4538,0.7969,0.7202,20.3804
MEH-01,2024,2026,0.7208,2.1995,2.0545,0.413,-1.4787,-34.7609
RAJ-01,2016,2018,0.4408,0.0866,7.2281,0.932,0.3543,4.8431
RAJ-01,2018,2020,9.6431,0.0,7.6689,0.443,9.6431,125.7426
RAJ-01,2020,2022,5.5147,1.8189,15.4931,0.6787,3.6958,21.3483
RAJ-01,2022,2024,7.3079,0.0383,20.9696,0.7406,7.2697,34.6045
RAJ-01,2024,2026,0.0841,0.2239,28.0536,0.9891,-0.1398,-0.4943
SUR-01,2016,2018,0.0786,0.2198,1.7515,0.8544,-0.1412,-7.1617
SUR-01,2018,2020,0.0427,0.2486,1.5815,0.8445,-0.206,-11.2548
SUR-01,2020,2022,0.0036,0.8047,0.8194,0.5034,-0.8011,-49.3256
SUR-01,2022,2024,0.0482,0.4096,0.4134,0.4746,-0.3614,-43.9133
SUR-01,2024,2026,0.2624,0.3144,0.1472,0.2033,-0.0521,-11.2786
SUR-02,2016,2018,8.3846,8.7546,59.9628,0.7777,-0.3701,-0.5385
SUR-02,2018,2020,7.1408,56.5122,11.8351,0.1568,-49.3713,-72.2359
SUR-02,2020,2022,16.4592,0.4225,18.5535,0.5236,16.0367,84.5104
SUR-02,2022,2024,23.0765,4.5496,30.4631,0.5244,18.5269,52.9148
SUR-02,2024,2026,5.6997,28.0319,25.5077,0.4306,-22.3322,-41.7116
VAD-01,2016,2018,0.8952,0.0,3.0217,0.7715,0.8952,29.6256
VAD-01,2018,2020,4.682,0.0083,3.9086,0.4545,4.6737,119.3203
VAD-01,2020,2022,3.3237,1.1897,7.401,0.6212,2.1341,24.8416
VAD-01,2022,2024,3.003,1.04,9.6847,0.7055,1.9629,18.303
VAD-01,2024,2026,0.9489,0.7608,11.9268,0.8746,0.1881,1.4824
VAD-02,2016,2018,0.348,1.6217,5.34,0.7305,-1.2737,-18.2954
VAD-02,2018,2020,0.0,2.6818,3.0063,0.5285,-2.6818,-47.1479
VAD-02,2020,2022,0.7929,3.0063,0.0,0.0,-2.2133,-73.6239
VAD-02,2022,2024,0.7908,0.4921,0.3008,0.19,0.2987,37.6755
VAD-02,2024,2026,0.3736,0.7325,0.3592,0.2452,-0.3589,-32.8756
VAP-01,2016,2018,0.4674,0.1302,0.3961,0.3987,0.3372,64.0706
VAP-01,2018,2020,0.3771,0.2926,0.5709,0.4602,0.0845,9.7919
VAP-01,2020,2022,0.8078,0.0122,0.9359,0.533,0.7957,83.9297
VAP-01,2022,2024,0.0501,0.3514,1.3923,0.7762,-0.3014,-17.284
VAP-01,2024,2026,0.0203,0.0595,1.3828,0.9454,-0.0392,-2.7196
